k1             a1             c1             k2             a2             c2             k3             a3             c3             gamma1         gamma2         LogPost        b1             b2             b3             
   0.166638E+00   0.298939E+01   0.152919E+01   0.322398E+00   0.120976E+02   0.162124E+01   0.963851E+00   0.832438E+01   0.168348E+01   0.121434E-02   0.637344E-01   0.664632E+02   0.166638E+00   0.249313E+00   0.963851E+00
   0.163488E+00   0.296491E+01   0.152988E+01   0.324052E+00   0.125035E+02   0.166814E+01   0.896651E+00   0.154739E+02   0.163716E+01   0.714804E-03    0.68336E-01   0.703681E+02   0.163488E+00   0.245202E+00   0.896651E+00
   0.163459E+00   0.298105E+01   0.152907E+01    0.31899E+00   0.120086E+02   0.165813E+01   0.947659E+00   0.658444E+01    0.16576E+01   0.375652E-02   0.419619E-01   0.685874E+02   0.163459E+00   0.241404E+00   0.947659E+00
   0.166488E+00   0.274535E+01   0.148873E+01    0.30325E+00   0.109019E+02   0.167726E+01   0.924134E+00   0.158729E+02    0.16812E+01   0.831324E-03   0.692898E-01   0.712501E+02   0.166488E+00   0.228085E+00   0.924134E+00
   0.168576E+00    0.33015E+01   0.152535E+01   0.319088E+00   0.113695E+02     0.1669E+01   0.897486E+00   0.142196E+02   0.166624E+01   0.236333E-02   0.419641E-01   0.709537E+02   0.168576E+00    0.23464E+00   0.897486E+00
   0.168439E+00   0.283298E+01   0.147328E+01   0.325355E+00    0.12975E+02   0.169075E+01   0.957896E+00   0.859635E+01   0.169037E+01   0.147759E-02   0.726194E-01   0.682039E+02   0.168439E+00   0.244397E+00   0.957896E+00
   0.166196E+00   0.308767E+01    0.15141E+01   0.335244E+00   0.127492E+02   0.163673E+01   0.825585E+00   0.968514E+01   0.162618E+01   0.311172E-02   0.660539E-01   0.645574E+02   0.166196E+00   0.254039E+00   0.825585E+00
   0.165268E+00   0.286214E+01   0.150131E+01   0.314968E+00   0.126217E+02   0.171216E+01   0.927106E+00   0.139571E+02   0.165341E+01   0.117679E-02   0.765938E-01   0.700408E+02   0.165268E+00    0.23546E+00   0.927106E+00
   0.160315E+00   0.273729E+01   0.152182E+01    0.31473E+00   0.119532E+02   0.167378E+01   0.955786E+00   0.111172E+02   0.163878E+01   0.308724E-03   0.774992E-01   0.704784E+02   0.160315E+00   0.238893E+00   0.955786E+00
    0.16263E+00   0.249011E+01   0.149464E+01   0.306246E+00   0.124387E+02   0.172654E+01   0.891344E+00   0.146957E+02   0.167433E+01   0.253723E-03   0.576295E-01   0.667755E+02    0.16263E+00   0.232828E+00   0.891344E+00
   0.172738E+00   0.337299E+01   0.151415E+01   0.316463E+00   0.120696E+02   0.170401E+01   0.102429E+01   0.154696E+02   0.163808E+01   0.109472E-02   0.693495E-01   0.657801E+02   0.172738E+00   0.232037E+00   0.102429E+01
   0.170748E+00   0.325953E+01   0.151791E+01   0.327429E+00   0.124219E+02   0.164972E+01   0.934244E+00   0.985895E+01     0.1648E+01   0.158795E-02   0.653561E-01   0.706004E+02   0.170748E+00   0.246681E+00   0.934244E+00
   0.177657E+00   0.340494E+01   0.149802E+01   0.322941E+00   0.120944E+02   0.169493E+01   0.971595E+00    0.10206E+02   0.170351E+01    0.68209E-02    0.33157E-01   0.685946E+02   0.177657E+00   0.236888E+00   0.971595E+00
   0.174999E+00   0.330407E+01   0.150101E+01   0.315456E+00   0.120119E+02    0.16907E+01   0.922838E+00   0.116123E+02   0.167023E+01   0.369942E-02   0.507265E-01   0.693311E+02   0.174999E+00   0.233867E+00   0.922838E+00
   0.171843E+00   0.335798E+01   0.152408E+01   0.312526E+00    0.11236E+02   0.166181E+01   0.100072E+01   0.154205E+02   0.169243E+01   0.240964E-02    0.54223E-01   0.679209E+02   0.171843E+00   0.232506E+00   0.100072E+01
   0.173092E+00   0.358635E+01   0.152746E+01   0.337188E+00   0.121561E+02   0.166993E+01   0.912966E+00   0.676695E+01   0.172847E+01   0.275085E-02   0.478246E-01   0.676517E+02   0.173092E+00   0.245016E+00   0.912966E+00
   0.168907E+00   0.295719E+01   0.150882E+01   0.315915E+00   0.117466E+02   0.165351E+01     0.9209E+00   0.140381E+02   0.168773E+01   0.237644E-02    0.50192E-01   0.711908E+02   0.168907E+00   0.240419E+00     0.9209E+00
   0.168823E+00   0.311505E+01    0.15185E+01   0.325184E+00   0.126461E+02    0.16584E+01   0.958841E+00   0.120733E+02   0.167353E+01   0.382833E-02   0.558603E-01   0.700686E+02   0.168823E+00   0.246624E+00   0.958841E+00
   0.163349E+00   0.279784E+01   0.151013E+01   0.316018E+00   0.119079E+02   0.168985E+01   0.842128E+00   0.139894E+02   0.164972E+01   0.837426E-04   0.544939E-01   0.714704E+02   0.163349E+00   0.236889E+00   0.842128E+00
   0.167474E+00    0.33306E+01   0.153294E+01   0.335584E+00   0.127373E+02   0.166447E+01   0.905078E+00   0.180053E+02   0.163303E+01   0.284498E-02   0.713185E-01    0.68328E+02   0.167474E+00   0.249128E+00   0.905078E+00
   0.172716E+00   0.352571E+01   0.151767E+01   0.335176E+00   0.121231E+02   0.167106E+01   0.911581E+00   0.126919E+02    0.16957E+01    0.41565E-02   0.521007E-01    0.71551E+02   0.172716E+00   0.243507E+00   0.911581E+00
    0.17897E+00   0.342035E+01    0.14905E+01   0.329834E+00   0.125511E+02   0.165739E+01    0.82215E+00    0.16267E+02   0.162588E+01   0.787077E-02   0.249495E-01    0.64775E+02    0.17897E+00   0.246537E+00    0.82215E+00
   0.172791E+00   0.345721E+01   0.150702E+01   0.339723E+00   0.124897E+02     0.1649E+01   0.924743E+00   0.123306E+02   0.168093E+01   0.324983E-02   0.587265E-01    0.71499E+02   0.172791E+00   0.250352E+00   0.924743E+00
   0.176009E+00   0.364335E+01   0.152355E+01   0.334176E+00   0.117244E+02   0.168781E+01   0.954797E+00    0.83511E+01   0.168393E+01   0.492833E-02   0.552472E-01   0.673995E+02   0.176009E+00   0.239482E+00   0.954797E+00
    0.18167E+00   0.373979E+01   0.150119E+01   0.324156E+00    0.12088E+02   0.170325E+01   0.894839E+00   0.132855E+02   0.171027E+01   0.117922E-01   0.109301E-01   0.647194E+02    0.18167E+00   0.233994E+00   0.894839E+00
